function_name,polynomial_size,max_error,l2_error
toom3,64,0.00000000000000318341183689640097,0.00000000000001028328494441492161
toom4,64,0.00000000000000318341183689640097,0.00000000000001028328494441492161
naive,64,0.00000000000000274910084093375206,0.00000000000000539977978800365534
karatsuba,64,0.00000000000000253679852103109681,0.00000000000000779362789362452159
toom3,64,0.00000000000000452711022397717032,0.00000000000001114163905926090706
toom4,64,0.00000000000000452711022397717032,0.00000000000001114163905926090706
naive,64,0.00000000000000304866395178924559,0.00000000000000491401126794113390
karatsuba,64,0.00000000000000314775097225046569,0.00000000000000712659804105911581
toom3,64,0.00000000000000292052306977173424,0.00000000000000974030143067337864
toom4,64,0.00000000000000292052306977173424,0.00000000000000974030143067337864
naive,64,0.00000000000000155669335456764649,0.00000000000000434400966416165643
karatsuba,64,0.00000000000000226845235644137271,0.00000000000000734370020836522753
toom3,64,0.00000000000000245421232910803189,0.00000000000000751714702764088782
toom4,64,0.00000000000000245421232910803189,0.00000000000000751714702764088782
naive,64,0.00000000000000304528937141070649,0.00000000000000578602143248279675
karatsuba,64,0.00000000000000308057415863162444,0.00000000000000737383112664278070
toom3,64,0.00000000000000430129543157684453,0.00000000000001371978793459997969
toom4,64,0.00000000000000430129543157684453,0.00000000000001371978793459997969
naive,64,0.00000000000000216330411935852032,0.00000000000000407505407636728831
